date,state,parks_mobility,workplace_mobility,residential_mobility
2022-10-15,Andaman and Nicobar Islands,138,110.0,105
2022-10-15,Andhra Pradesh,46,20.0,33
2022-10-15,Arunachal Pradesh,113,11.0,60
2022-10-15,Assam,77,34.0,76
2022-10-15,Bihar,106,52.0,68
2022-10-15,Chandigarh,16,43.0,14
2022-10-15,Delhi,21,15.0,10
2022-10-15,Goa,41,25.0,35
2022-10-15,Gujarat,51,31.0,35
2022-10-15,Haryana,46,21.0,34
2022-10-15,Himachal Pradesh,57,62.0,85
2022-10-15,Jammu and Kashmir,7,701.0,435
2022-10-15,Jharkhand,76,41.0,57
2022-10-15,Karnataka,40,21.0,25
2022-10-15,Kerala,93,30.0,56
2022-10-15,Lakshadweep,69,39.0,50
2022-10-15,Maharashtra,61,30.0,33
2022-10-15,Manipur,-7,12.0,-9
2022-10-15,Meghalaya,42,39.0,61
2022-10-15,Mizoram,242,-9.0,26
2022-10-15,Nagaland,34,67.0,58
2022-10-15,Odisha,68,24.0,70
2022-10-15,Puducherry,43,27.0,29
2022-10-15,Punjab,54,11.0,31
2022-10-15,Rajasthan,75,45.0,53
2022-10-15,Sikkim,36,75.0,109
2022-10-15,Tamil Nadu,65,35.0,39
2022-10-15,Telangana,36,15.0,25
2022-10-15,Tripura,71,35.0,56
2022-10-15,West Bengal,46,22.0,35
2022-10-15,Chhattisgarh,0,30.5,0
2022-10-15,Dadra and Nagar Haveli and Daman and Diu,0,30.5,0
2022-10-15,Ladakh,0,30.5,0
2022-10-15,Madhya Pradesh,0,30.5,0
2022-10-15,Uttar Pradesh,0,30.5,0
2022-10-15,Uttarakhand,0,30.5,0
